,tax_percentage,fare,driver_fee,drive_time_min,bus_time_min,drive_cost,bus_cost,index
0,0.5,0.75,0,25.5,68.72,5.43,0.75,0
1,0.5,0.75,0.5,19.11,57.43,5.93,0.75,1
2,0.5,0.75,1,18.02,54.64,6.43,0.75,2
3,0.5,1.25,0,23.16,64.12,5.43,1.25,3
4,0.5,1.25,0.5,19.01,54.51,5.93,1.25,4
5,0.5,1.25,1,17.97,51.99,6.43,1.25,5
6,0.5,1.75,0,22.4,60.33,5.43,1.75,6
7,0.5,1.75,0.5,19.06,52.48,5.93,1.75,7
8,0.5,1.75,1,18.08,50.56,6.43,1.75,8
9,1,0.75,0,21.72,62.79,5.43,0.75,9
10,1,0.75,0.5,18.8,55.79,5.93,0.75,10
11,1,0.75,1,17.8,53.32,6.43,0.75,11
12,1,1.25,0,21,58.8,5.43,1.25,12
13,1,1.25,0.5,18.76,53.21,5.93,1.25,13
14,1,1.25,1,17.79,51,6.43,1.25,14
15,1,1.75,0,20.98,56.44,5.43,1.75,15
16,1,1.75,0.5,18.86,51.47,5.93,1.75,16
17,1,1.75,1,18.08,51.07,6.43,1.75,17
18,1.5,0.75,0,20.07,58.51,5.43,0.75,18
19,1.5,0.75,0.5,18.52,54.37,5.93,0.75,19
20,1.5,0.75,1,17.58,52.16,6.43,0.75,20
21,1.5,1.25,0,19.81,55.5,5.43,1.25,21
22,1.5,1.25,0.5,18.52,52.1,5.93,1.25,22
23,1.5,1.25,1,17.61,50.14,6.43,1.25,23
24,1.5,1.75,0,20.07,53.91,5.43,1.75,24
25,1.5,1.75,0.5,18.66,50.61,5.93,1.75,25
26,1.5,1.75,1,17.74,48.82,6.43,1.75,26
