tax_percentage,fare,driver_fee,drive_time_min,bus_time_min,drive_cost,bus_cost,index,Transit%,Utotal,Umin,Gini,Budget,Cost,Tax,Fare,Driver fee,h,s,S,lc,lb,vbe,Ubhat,Uchat,ehat
0.5,0.75,0,25.98,61.55,7.19,0.75,0,0,645.5176,0.1611,0.1416,67.8825,104.6365,44.4825,0,0,0.3529,0.306,0.48,23.7884,1.7061,26.9059,0.1611,0.1563,31.4
0.5,0.75,0.5,23.47,58.58,7.69,0.75,1,0.1699,669.2392,0.2977,0.1316,214.35,214.35,44.4825,34.4025,112.065,0.1777,0.306,0.48,26.3387,6.1303,25.6058,0.3043,0.3043,40.2342
0.5,0.75,1,22.62,56.06,8.19,0.75,2,0.2706,674.7613,0.3336,0.1208,319.6189,319.6189,44.4825,54.7909,196.9455,0.118,0.306,0.48,27.3241,7.7716,26.0051,0.3446,0.3446,45.5274
0.5,1.25,0,25.98,61.25,7.19,1.25,3,0,645.5176,0.1662,0.1416,67.8825,107.6463,44.4825,0,0,0.3431,0.306,0.48,23.7884,1.9716,26.9059,0.1662,0.1563,31.4
0.5,1.25,0.5,23.42,57.54,7.69,1.25,4,0.1753,670.3823,0.2985,0.1309,238.3891,238.3891,44.4825,59.1777,111.3289,0.1588,0.306,0.48,26.3859,6.6769,25.8621,0.3084,0.3084,40.5177
0.5,1.25,1,22.61,55.05,8.19,1.25,5,0.2717,674.3346,0.3297,0.1216,356.222,356.222,44.4825,91.6973,196.6422,0.105,0.306,0.48,27.3366,8.2133,26.3543,0.3453,0.3453,45.5889
0.5,1.75,0,25.98,61.01,7.19,1.75,6,0,645.5176,0.1677,0.1416,67.8825,110.2672,44.4825,0,0,0.3349,0.306,0.48,23.7884,2.191,26.9059,0.1677,0.1563,31.4
0.5,1.75,0.5,23.41,56.62,7.69,1.75,7,0.1765,670.2816,0.2958,0.1312,262.4504,262.4504,44.4825,83.395,111.1729,0.1433,0.306,0.48,26.396,7.1431,26.1203,0.3092,0.3092,40.5779
0.5,1.75,1,22.64,54.23,8.19,1.75,8,0.2688,672.4483,0.3229,0.1237,392.319,392.319,44.4825,127.0185,197.418,0.0947,0.306,0.48,27.3046,8.5771,26.6528,0.3434,0.3434,45.4315
1,0.75,0,25.12,61.23,7.19,0.75,9,0.0348,650.2375,0.2009,0.1426,119.4081,119.4081,88.965,7.0431,0,0.313,0.306,0.48,24.6044,2.7348,26.3899,0.2019,0.2019,33.2086
1,0.75,0.5,23.17,57.2,7.69,0.75,10,0.2067,672.5462,0.3159,0.1252,261.3177,261.3177,88.965,41.858,107.0947,0.145,0.306,0.48,26.67,7.0232,25.8218,0.3243,0.3243,42.1487
1,0.75,1,22.4,55.07,8.19,0.75,11,0.2939,675.7829,0.3413,0.1168,362.5293,362.5293,88.965,59.5072,190.6571,0.1033,0.306,0.48,27.592,8.2476,26.316,0.3535,0.3535,46.8037
1,1.25,0,25,60.77,7.19,1.25,12,0.0396,652.0485,0.2068,0.1421,125.7317,125.7317,88.965,13.3667,0,0.2973,0.306,0.48,24.7222,3.1483,26.3834,0.2086,0.2086,33.4595
1,1.25,0.5,23.16,56.22,7.69,1.25,13,0.2087,672.6134,0.3135,0.1255,289.6257,289.6257,88.965,70.4346,106.8262,0.1299,0.306,0.48,26.6888,7.493,26.1162,0.3256,0.3256,42.2521
1,1.25,1,22.41,54.17,8.19,1.25,14,0.2927,674.4099,0.3356,0.1184,402.1228,402.1228,88.965,98.789,190.9688,0.0924,0.306,0.48,27.5783,8.6371,26.6485,0.3527,0.3527,46.7404
1,1.75,0,24.91,60.25,7.19,1.75,15,0.0433,653.4359,0.2107,0.1417,132.809,132.809,88.965,20.444,0,0.2813,0.306,0.48,24.8125,3.5733,26.4069,0.2135,0.2135,33.6499
1,1.75,0.5,23.18,55.39,7.69,1.75,16,0.2064,671.3721,0.308,0.1269,317.016,317.016,88.965,97.5114,107.1396,0.1179,0.306,0.48,26.6669,7.8814,26.3833,0.3241,0.3241,42.1314
1,1.75,1,22.46,53.45,8.19,1.75,17,0.2878,671.641,0.3274,0.1212,440.6414,440.6414,88.965,135.9782,192.2982,0.0838,0.306,0.48,27.5204,8.9538,26.9231,0.3496,0.3496,46.4706
